mol 1,mol 2,mol 3,x1,x2,x3,T /K,Visc /cP
1,4,0.5,0.1818,0.7273,0.0909,298.2,26.1
1,4,0.5,0.1818,0.7273,0.0909,303.2,20.7
1,4,0.5,0.1818,0.7273,0.0909,308.2,16.64
1,4,0.5,0.1818,0.7273,0.0909,313.2,13.5
1,4,0.5,0.1818,0.7273,0.0909,318.2,11.12
1,4,0.5,0.1818,0.7273,0.0909,323.2,9.3
1,4,1,0.1667,0.6667,0.1667,298.2,21.1
1,4,1,0.1667,0.6667,0.1667,303.2,16.9
1,4,1,0.1667,0.6667,0.1667,308.2,13.79
1,4,1,0.1667,0.6667,0.1667,313.2,11.35
1,4,1,0.1667,0.6667,0.1667,318.2,9.5
1,4,1,0.1667,0.6667,0.1667,323.2,8.07
1,4,2,0.1429,0.5714,0.2857,298.2,14.5
1,4,2,0.1429,0.5714,0.2857,303.2,11.9
1,4,2,0.1429,0.5714,0.2857,308.2,9.94
1,4,2,0.1429,0.5714,0.2857,313.2,8.33
1,4,2,0.1429,0.5714,0.2857,318.2,7.14
1,4,2,0.1429,0.5714,0.2857,323.2,6.11
1,4,4,0.1111,0.4444,0.4444,298.2,8.39
1,4,4,0.1111,0.4444,0.4444,303.2,7.09
1,4,4,0.1111,0.4444,0.4444,308.2,6.08
1,4,4,0.1111,0.4444,0.4444,313.2,5.27
1,4,4,0.1111,0.4444,0.4444,318.2,4.61
1,4,4,0.1111,0.4444,0.4444,323.2,4.03
1,6,0.5,0.13333,0.8,0.06667,298.2,16.39
1,6,0.5,0.13333,0.8,0.06667,303.2,13.07
1,6,0.5,0.13333,0.8,0.06667,308.2,10.89
1,6,0.5,0.13333,0.8,0.06667,313.2,9.07
1,6,0.5,0.13333,0.8,0.06667,318.2,7.54
1,6,0.5,0.13333,0.8,0.06667,323.2,6.38
1,6,1,0.125,0.75,0.125,298.2,11.9
1,6,1,0.125,0.75,0.125,303.2,10.43
1,6,1,0.125,0.75,0.125,308.2,9
1,6,1,0.125,0.75,0.125,313.2,7.66
1,6,1,0.125,0.75,0.125,318.2,6.24
1,6,1,0.125,0.75,0.125,323.2,5.55
1,6,2,0.11111,0.66667,0.22222,298.2,5.04
1,6,2,0.11111,0.66667,0.22222,303.2,4.22
1,6,2,0.11111,0.66667,0.22222,308.2,3.78
1,6,2,0.11111,0.66667,0.22222,313.2,3.3
1,6,2,0.11111,0.66667,0.22222,318.2,2.95
1,6,2,0.11111,0.66667,0.22222,323.2,2.63
1,6,4,0.09091,0.54545,0.36364,298.2,2.62
1,6,4,0.09091,0.54545,0.36364,303.2,2.38
1,6,4,0.09091,0.54545,0.36364,308.2,2.2
1,6,4,0.09091,0.54545,0.36364,313.2,2
1,6,4,0.09091,0.54545,0.36364,318.2,1.84
1,6,4,0.09091,0.54545,0.36364,323.2,1.64
